AAB ID,AAB Catalogue Number,Library Full Name,Library Sort,Category,Database ID,Department,Title Sort,Title for Print and Web,Full Title,Author (First Name Last Name),Year of Publication,Call Number,Item Record #,"Other contributors, if apply (please be specific such as: Illustrated by John H. Doe or Edited by Charles Smith)",Adoption Goal,Item Description,Note,Image for Print and Web,Image Filename,Conservation Blurb,Preservation Cost,Year,Adopt Status,Adopter ID
2020-001,1,Archives and Rare Books Library,Archives,Build the Collection,2183,ARB Library,Chinese,Chinese Central Asia: A Ride to Little Tibet,Chinese Central Asia: A Ride to Little Tibet,Henry Lansdell,1893,DS709 .L29 ,i14490675,,325," An example from one of the University of Cincinnati’s founding collections in the late 19th and early 20th centuries, the Robert Clarke Collection, Lansdell’s book is an excellent example of European travel and exploration throughout the Eastern world. Henry Lansdell (1841-1919) was a noted explorer who often traveled in Asia to distribute his religious tracts and chronicled his experiences along the way. It seemed he always courted controversy, however. He once was arrested in Russia because it was thought he was carrying pamphlets about revolution. Similar to his other books on Siberia and Russia Central Asia, this two-volume work contains colorful accounts of his travels (crossing the vast Asian deserts, perhaps as the first Englishman to do so) sometimes on a horse, sometimes on a yak. Lansdell’s work is notable for the outstanding maps and the sketches of the people he met.",,2020-001,i14490675_2183_chineseCentralAsia_001N,,,2020,0,1
2020-002,2,Archives and Rare Books Library,Archives,Preserve for the Future,2285,ARB Library,Common,Common Sense: Addressed to the Inhabitants of America,"Common sense; addressed to the inhabitants of America, on the following interesting subjects: I. Of the origin and design of government in general, with concise remarks on the English constitution. II. Of monarchy and hereditary succession. III. Thoughts on the present state of American affairs. IV. Of the present ability of America; with some miscellaneous reflections",Thomas Paine,1791,E211 .P23,i17615239,,375,"Arguably the most important writing that led to the American Revolution, as well as popular revolutions in continental Europe, Thomas Paine’s Common Sense was first published in 1776 and strongly advocated the American colonies’ independence from England. He wrote it from his home in England and for Paine, freedom from monarchies and tyrannies is based upon moral rightness and equality for all people. His pamphlet became a best seller and was publicly read everywhere people gathered to debate the issue of independence. Common Sense is one of the most important books in American history. Later involvement in the French Revolution, including his imprisonment in France, led Paine to write The Rights of Man. Freed through American intervention and living in the United States, Paine’s life took a different turn in his intense antagonism toward George Washington and anyone who disagreed with his views. When he died in 1809, only six mourners came to his funeral, and one obituary stated, ""He had lived long, did some good, and much harm."" Our particular edition was published in 1791 and includes and appendix which is an address to Quakers – interesting, since the Quakers where he lived in New York refused him burial in their graveyard. ",,2020-002,i17615239_2285_commonSense,"This is an 18th century textblock with a missing binding. The paper is a handmade wove paper that is sewn on three recessed supports. The edges of the textblock are decorated in blue speckles. To facilitate safe handling and storage, the binding will be rebound into a stiff paper binding and stored in an archival cloth covered clamshell enclosure. ",$355 ,2020,0,
2020-003,3,Archives and Rare Books Library,Archives,Preserve for the Future,2286,ARB Library,First,The First Book of Architecture ,The First Book of Architecture ,Andrea Palladio,1733,NA2515 .P3 1733,i18681645,,400,"Known for the palaces and suburban villas he designed, the Venetian Palladio (1508-1580) was a Renaissance architect considered as one of the most important figures in the history of architecture. The Palladian style influenced the design of buildings throughout the Western world, including Monticello and the United States Capitol building. And, his work is still of primary study in architecture education. This 1733 edition was translated out of Italian by Godfrey Richards and includes an appendix on doors and windows by Pierre Le Muet, a 16th century French architect. ",,2020-003,i18681645_2286_Architecture_01N,"This is a leather binding that has been previously rebound prior to acquisition at UC and is in fair condition. Overall, the textblock is in coated in surface dirt. Also, during the prior rebinding, new endsheets were pasted on top of the original pastedowns, obscuring the handwritten inscriptions below. Conservation staff will surface clean the textblock to remove dirt accumulation. Photographic imaging will be performed to improve the visibility of the handwritten inscriptions on the inside of the cover. The binding will be housed in a cloth covered compression enclosure to prevent the leather boards from warping. ",$375 ,2020,0,
2020-004,4,Archives and Rare Books Library,Archives,Build the Collection,2182,ARB Library,Irishmen,Irishmen All,Irishmen All,George A. Birmingham ,1913,DA925 .H3 1913,i83886072,Illustrated by Jack B. Yeats,800,"For the past several years, the Archives & Rare Books Library has carefully built its holdings of Irish literature, particularly during the intense decades of the Gaelic Revival, approximately from 1880 to the end of the Irish Civil War in 1923.  In a burst of creativity in art, literature, sport, language, music, and historiography, pride in their heritage spurred the Irish to revive their traditional culture. George A. Birmingham was the pen name of James Owen Hannay (1865 - 1950), an Irish novelist and clergyman. Beautifully rebound in red morocco with marbled endpapers, this book tells of various occupations in Ireland, from the publican and the farmer to the parish priest andsquireen. The volume is notable for its twelve illustrations by the eminent Irish artist, Jack B. Yeats, brother of poet and Nobel laureate William Butler Yeats. ",,2020-004,i83886072_2182_Irishmen_01N,,,2020,0,
2020-005,5,Archives and Rare Books Library,Archives,Build the Collection,2181,ARB Library,Morris,"William Morris & Company, Ltd., (Ruskin House)","William Morris & Company, Ltd., (Ruskin House)","Morris & Co. (London, England)",1912,NK1142.M67 W5 1912,i49530914,,1100,"Essentially a sales catalogue, this volume exhibits the Arts & Crafts style of William Morris’ artists and designers. His devotion to traditional craftsmanship, whether in tapestries and textiles, or in books and illustrations, made William Morris (1834-1896) and his work in Hammersmith, England the key element of the Arts & Crafts Movement. The Archives & Rare Books Library has a fine collection of Morris’ poetry, sagas, and typography from his Kelmscott Press, along with his lectures on architecture and on the art of the book. This book showcases the range of his additional design influence in stained glass, ornamental ironwork, and building casements. It is an important study text for architecture, industrial design, art history, and social history. ",,2020-005,i49530914_2181_williamMorris_001N,,,2020,0,
2020-006,6,Archives and Rare Books Library,Archives,Preserve for the Future,2284,ARB Library,Niphon,"Niphon and Pe-che-li; or, Two Years in Japan and Northern China","Niphon and Pe-che-li; or, Two years in Japan and northern China",Edward Barrington De Fonblanque,1863,DS507 .D3 1863,i14030846,,550,"Fonblanque (1821-1895) was an English military historian, born in France and educated in Germany.  After serving in the Crimean War and the First Boer War, he traveled extensively throughout Asia and the British colonies despite a riding accident that resulted in his leg being amputated.  His books are noted for their accurate portrayal of military strategies, and his travel account of Japan and China make this book an important volume in the library’s special collecting area of early travel and exploration. ",,2020-006,i14030846_2284_ niphonAndPecheli_002,"This is a mid-19th century half leather binding bound in blue sheepskin. The boards are covered in a blue marbled paper with a stone pattern. The spine is tooled in gold along false raised bands. The edges of the textblock are decorated with a red marbled serpentine pattern. This book greatly suffers from leather damage. The leather is faded and worn. The joints are broken and the endcaps and endbands are nearly detached. Conservation staff will repair the leather binding to restore the endbands, endcaps, worn corners and cracked joints. The textblock will be surface cleaned throughout. The binding will be stored in a cloth covered clamshell. ",$525 ,2020,0,
2020-007,7,Archives and Rare Books Library,Archives,Build the Collection,2179,ARB Library,Philosophiae,Philosophiæ Naturalis Principia Mathematica,Philosophiæ Naturalis Principia Mathematica,Sir Isaac Newton,1726,QA803 .A2 1726,i1984413x,,1600,"Most often referenced as the “Principia,” Isaac Newton’s treatise is a key publication in the history of science and revolutionized the field of physics. The Archives & Rare Books Library’s copy of this seminal work is an 18th century edition of Newton’s original 1687 text. In Principia, Newton outlines his laws of motion, gravity, and mechanics. And with a growing academic and public interest in the history of mathematics, this particular volume generates great interest and use of our rare books on this scientific heritage. This edition was published in London and maintains its Latin text. The typography and diagrams are beautifully rendered for the reader.   ",,2020-007,i1984413x_2179_philosophiaeNaturalis_001N,,,2020,0,
2020-008,8,Archives and Rare Books Library,Archives,Build the Collection,2180,ARB Library,Savoy,"The Savoy, Volume 1, Number 2 (1896: January - April)","The Savoy, Volume 1, Number 2 (1896: January - April)",,1896,AP2 .S37,i19069376,Edited by Arthur Symons,275,"More than just a magazine of art criticism and literature, The Savoy was a movement in publishing that embraced a reaction against the Victorian materialistic world. Its embrace of writers and artists who were variously termed as “decadent” or part of the Symbolist cadre bucked the traditional journal in both form and content. Beautifully illustrated by artists such as Aubrey Beardsley and featuring the work of Oscar Wilde, William Butler Yeats, Joseph Conrad, and many other prominent writers, The Savoy was a hardcover publication with exquisite Art Nouveau sensibilities. It published eight issues in 1896 before folding, and in its approach to literature and art was very similar to its contemporary, The Yellow Book, which the Archives & Rare Books Library also holds in its collections. The Savoy also represents another aspect of publishing during the late 19th century that is complementary to our holdings of the Arts & Crafts Movement. ",,2020-008,i19069376_2180_theSavoy_001N,,,2020,0,
2020-009,9,Archives and Rare Books Library,Archives,Preserve for the Future,2282,ARB Library,Shakespeare,"The Plays of Shakespeare: The Text Regulated by the Old Copies, and by the Recently Discovered Folio of 1632","The plays of Shakespeare: the text regulated by the old copies, and by the recently discovered folio of 1632, containing early manuscript emendations",William Shakespeare,1853,PR2753 .C75 1853a,i19270264,Edited by J. Payne Collier,1000,"Edited by John Payne Collier (1789-1883), this volume is part of the Archives & Rare Books Library’s outstanding Shakespeare holdings. This collection consists primarily of Shakespeare editions in the 1700s and 1800s, and much of it came from another Cincinnati private library that helped found the UC Libraries, that of local businessman Enoch T. Carson. Collier’s 1853 edition here was significant for his supposed reliance on the 1632 Shakespeare folio, aye, but there’s the rub. Collier was accused of forging Shakespeare documents, which he used in his corrections and emendations in the book. But that is all part of the richly broad legacy of Shakespeare in world literature. This particular copy is unique for the letter and autograph of Collier that is tipped into it. ",,2020-009,i19270264_2282_playsOfShakespeare,"This is a mid-19th century brown cloth covered binding that has suffered prior damage and repair. The cloth spine of the textblock was previously lost and has been replaced with a stiff black cloth repair tape. The tape has failed and the boards are loose. The textblock is in fair condition, however the spine linings are brittle and the first few leaves are loose and nearly detached. A letter attached in the front of the textblock is creased. Conservation staff will remove the failed prior repair. The textlbock spine will be relined with a more flexible lining. Loose pages will be reattached. The creased letter will be flattened. The binding will be rebacked with a sympathetic cloth to match the color of the rest of the binding. The repaired binding will be stored in a cloth covered clamshell for long term storage. ",$950 ,2020,0,
2020-010,10,Archives and Rare Books Library,Archives,Preserve for the Future,2281,ARB Library,Tales,"Tales and Sketches, From the Queen City","Tales and Sketches, From the Queen City",Benjamin Drake,1838,F499.C5 D79,i20546610,,1000,"By the 1830s, Cincinnati became a major center in publishing, from the manufacture of paper and ink to authorship and book sales.  The city was also of an age when there could be informed reflection on its history since its founding, on its characters and neighborhoods, and on its hills and river.  Benjamin Drake (1795-1841) was the younger brother of pioneering physician and educator, Daniel Drake.  He was the founder and editor of the Cincinnati Chronicle, one of Cincinnati’s several newspapers, and as a journalist he was deeply interested in capturing the colorful life of a vibrant city on the American frontier.  Drake also authored books on William Henry Harrison and the Indian chief Black Hawk.  His Tales and Sketches is an important document of local history.",,2020-010,i20546610_2281_QueenCity_01N,"This is a 19th century half leather binding bound in burgundy colored sheepskin with marbled paper boards. The leather has broken along the spine and is torn along the board corners. There are prior cloth tape repairs along the spine that have also failed. Both cover boards are currently detached. The leather remaining on the spine has darkened and is in danger of becoming lost. Conservation staff will surface clean the binding, remove prior repairs, reattach the covers, and repair the corners of the boards. Evidence of where the call number label was removed by Blumberg will be retained. It will be housed in a cloth covered clamshell.",$930 ,2020,0,
2020-011,11,John Miller Burnam Classics Library,Burnam,Build the Collection,2170,Classics Library,Ancient,Ancient Greece and China compared,Ancient Greece and China compared,Edited by G.E.R. Lloyd and Jingyi Jenny Zhao,2018,DF77 .A5875 2018,i86102308,,125,"This book represents a growing trend to compare and contrast the development of ancient societies of Greece/Rome with imperial China in order to bring to light significant aspects of each that would be missed by focusing on just one of them. The volume also analyses how to go about the task of comparing, including finding viable comparanda and avoiding the trap of interpreting one culture in terms appropriate only to another. The book is set to provide a model for future collaborative and interdisciplinary work exploring what is common between ancient civilizations, what is distinctive of particular ones, and what may help to account for the latter.  ",,2020-011,i86102308_2170_ancientGreeceChina_001N,,,2020,0,
